uni_id,yr,Total_Students,Intl_Students_Count,Intl_Student_Ratio_pct,Faculty_Count,Faculty_Student_Ratio,Gender_Ratio,Female_Pct,Male_Pct,Degree_Level,UG_Count,PG_Count,Country_Avg_Rank,Univ_Ranked_Count,Best_Univ_Rank,Country_Avg_Score,Country_Avg_Acad_Rep,Country_Avg_Citations,Country_Avg_Intl_Ratio
1257,2025,26044.0,7553.0,29.0,1662.0,15.67027677,48:52:00,48.0,52.0,UNDERGRADUATE & POSTGRADUATE,16527,9517,262.0,4,8.0,57.58,52.78,67.58,21.76
1752,2024,14857.0,297.0,2.0,801.0,18.54806492, 53:47:00,53.0,47.0,Undergraduate & Postgraduate,10594,4263,611.64,7,334.0,34.16,8.24,67.29,6.13
1449,2016,8051.0,242.0,3.0,598.0,13.4632107,36 : 64,36.0,64.0,Undergraduate & Postgraduate,5444,2607,581.46,41,43.0,26.22,26.88,26.63,5.34
2304,2023,15158.0,2763.0,18.22954761,1407.0,10.77327647,54:46:00,53.89406718,46.10593282,undergraduate & postgraduate,10192,4966,1129.5,8,729.0,38.3,14.1,3.29,17.69
3351,2023,13796.0,414.0,3.0,1538.0,8.970091027,43:57:00  ,42.50591586,57.49408414,Undergraduate & Postgraduate,10225,3571,1006.08,49,453.0,29.5,30.04,29.55,3.16
2890,2023,11671.0,0.0,0.0,1121.0,10.41123996,58:42:00  ,58.0,42.0,undergraduate & postgraduate,9092,2579,1290.91,90,115.0,24.95,18.21,15.32,7.33
2060,2017,16596.0,5593.0,33.70089178,1383.0,12.0,44:56:00,43.67938252,56.32061748, Undergraduate & Postgraduate,12070,4526,365.38,12,98.0,41.62,40.52,40.76,20.75
287,2019,233999.0,10.367,0.004430361,50.0,16.0,47:53:00  ,47.0,53.0, Undergraduate & Postgraduate,153243,80756,850.38,20,420.0,21.83,22.04,22.17,1.85
1711,2026,5570.0,111.0,2.0,346.0,16.0982659, 65:35:00,65.0,35.0,undergraduate & postgraduate,4228,1342,773.03,16,150.0,39.99,26.92,35.4,8.78
2035,2024,17662.0,706.0,4.0,997.0,17.71514544,25 : 75,25.0,75.0,Undergraduate & Postgraduate,13651,4011,1185.91,124,28.0,27.19,22.28,20.27,5.07
672,2019,7452.0,1341.0,18.0,536.0,13.90298507,26 : 74,26.0,74.0, Undergraduate & Postgraduate,5250,2202,323.32,83,33.0,47.82,49.72,47.79,14.22
666,2018,8688.0,431.0,4.960865562,50.0,6.0,46:54:00,46.36196828,53.63803172,Undergraduate & Postgraduate,6040,2648,453.39,33,36.0,40.28,39.67,38.88,140.5
372,2025,18419.0,5121.0,27.80512543,1084.0,16.99169742,61:39:00,61.1337625,38.8662375,Undergraduate & Postgraduate,10687,7732,390.38,89,28.0,49.87,40.45,42.47,21.02
631,2021,43.476,6.749,15.52350722,50.0,12.0,49:51:00,49.29814666,50.70185334,UNDERGRADUATE & POSTGRADUATE,30,13,360.49,85,32.0,47.98,48.61,48.93,14.82
1304,2018,10718.0,1.499,,,8.0, 56:44:00,56.0,44.0,UNDERGRADUATE & POSTGRADUATE,8744,1974,664.41,34,76.0,26.96,27.06,26.87,226.32
2183,2025,32355.0,8099.0,25.0327456,2692.0,12.01894502,56:44:00,56.17508178,43.82491822,Undergraduate & Postgraduate  ,20923,11432,1153.91,32,71.0,33.83,16.08,5.32,19.31
3279,2017,15270.0,5.336,0.034944335,507.0,33.0, 55:45:00,55.0,45.0,Undergraduate & Postgraduate,8338,6932,345.58,42,22.0,46.05,47.16,45.24,20.54
1737,2023,23263.0,465.0,2.0,1294.0,17.97758887,46:54:00,46.0,54.0,undergraduate & postgraduate,16610,6653,1006.08,49,453.0,29.5,30.04,29.55,3.16
14,2022,4063.0,2.426,0.059709574,239.0,17.0,51:49:00,51.3167844,48.6832156,Undergraduate & Postgraduate,2504,1559,558.25,10,183.0,48.39,50.6,53.26,6.99
1294,2022,9746.0,1.109,0.011379027,50.0,6.0,59:41:00,59.0,41.0,UNDERGRADUATE & POSTGRADUATE  ,6632,3114,709.36,48,78.0,31.58,32.55,31.55,10.76
778,2024,22591.0,3978.0,17.60969922,1164.0,19.4080756,45:55:00,45.38913072,54.61086928,Undergraduate & Postgraduate,14289,8302,1005.42,118,149.0,33.09,24.1,32.62,6.94
3072,2024,24905.0,10958.0,44.0,1446.0,17.22337483,50:50:00,50.0,50.0,Undergraduate & Postgraduate,12309,12596,519.27,121,2.0,45.05,32.02,36.12,30.03
3067,2019,19699.0,1182.0,6.0,1056.0,18.65435606, 50:50:00,50.0,50.0,Undergraduate & Postgraduate,10725,8974,599.65,57,137.0,33.61,33.66,33.55,95.81
2698,2021,14364.0,1149.0,8.0,1185.0,12.12151899,56:44:00,56.0,44.0,Undergraduate & Postgraduate,9593,4771,716.78,72,154.0,34.37,33.72,34.18,79.95
195,2025,9213.0,2948.0,32.0,707.0,13.0311174,57:43:00  ,57.0,43.0,Undergraduate & Postgraduate,5609,3604,1744.0,54,580.0,20.25,19.89,20.26,13.15
2117,2021,65164.0,1825.0,2.800626113,2962.0,22.0,51:49:00,50.71024314,49.28975686,Undergraduate & Postgraduate,43110,22054,991.32,34,100.0,31.09,30.53,32.11,248.64
