name,slug,country,city,founded,type,students,website
Aditya College,aditya-college,India,,2007,,,
"Aditya Nath Jha Government Inter College, Rudrapur",aditya-nath-jha-government-inter-college-rudrapur,India,,,,,
Aditya University,aditya-university,India,,2001,,,
Adiwangsa Jambi University,adiwangsa-jambi-university,Indonesia,,2017,,,
Adıyaman University,adyaman-university,Turkey,Adıyaman,2006,,,
Admas University College,admas-university-college,Somalia,,2006,,,
Admas University College–Garowe,admas-university-collegegarowe,Somalia,Garowe,2014,,,
Admiral Farragut Academy,admiral-farragut-academy,,,,,,
Admiral Makarov National University of Shipbuilding,admiral-makarov-national-university-of-shipbuilding,Ukraine,,1920,,,
Admiral Makarov State University of Maritime and Inland Shipping,admiral-makarov-state-university-of-maritime-and-inland-shipping,Russia,,2012,,,
Admiralty University of Nigeria,admiralty-university-of-nigeria,Nigeria,,2017,,,
Adolf Fredrik's Music School,adolf-fredriks-music-school,,,,,,
Adolfo Ibáñez University,adolfo-ibanez-university,Chile,,1988,,,
Adoni Arts and science college,adoni-arts-and-science-college,India,,,,,
Advanced Academy of Georgia,advanced-academy-of-georgia,United States,,1995,,,
Advanced Business College,advanced-business-college,Ghana,Accra,2005,,,
Advanced Institute of Industrial Technology,advanced-institute-of-industrial-technology,Japan,,2006,,,
Advanced Radar Research Center,advanced-radar-research-center,United States,,,,,
"Advanced Technological Institute, Sri Lanka",advanced-technological-institute-sri-lanka,Sri Lanka,Colombo,1978,,,
Advanced Technology College,advanced-technology-college,United States,,2001,,,
Adventist University of Africa,adventist-university-of-africa,Kenya,,2005,,,
Adventist University of Central Africa,adventist-university-of-central-africa,Rwanda,,1978,,,
Adventist University of the Antilles,adventist-university-of-the-antilles,United States,,1961,,,
Adventist University of the Philippines,adventist-university-of-the-philippines,Philippines,,1917,,,
Advisory Council of Faculty Senates,advisory-council-of-faculty-senates,United States,,,,,
Adyar Film Institute,adyar-film-institute,,,,,,
Adzkia University,adzkia-university,Indonesia,,2021,,,
Aeronautical College of Bangladesh,aeronautical-college-of-bangladesh,Bangladesh,Dhaka,2008,,,
Aeronautical Polytechnic Academy,aeronautical-polytechnic-academy,Chile,,,,,
Aeronautics Institute of Technology,aeronautics-institute-of-technology,Brazil,,1950,,,
Aerospace Information Technology University,aerospace-information-technology-university,People's Republic of China,,,,,
Afe Babalola University Ado Ekiti department of Architecture,afe-babalola-university-ado-ekiti-department-of-architecture,Nigeria,,,,,
Afe Babalola University College of Law,afe-babalola-university-college-of-law,Nigeria,,,,,
Afe Babalola University College of Medicine and Health Sciences,afe-babalola-university-college-of-medicine-and-health-sciences,Nigeria,,,,,
Afe Babalola University College of Postgraduate Studies,afe-babalola-university-college-of-postgraduate-studies,Nigeria,,,,,
Afe Babalola University college of social management,afe-babalola-university-college-of-social-management,Nigeria,,,,,
Afe Babalola University Talent Discovery Centre,afe-babalola-university-talent-discovery-centre,Nigeria,,,,,
Afghan Defense University,afghan-defense-university,Afghanistan,Kabul,,,,
Afghan National Security University,afghan-national-security-university,Afghanistan,Kabul,2013,,,
Afghanistan Institute Of Higher Education,afghanistan-institute-of-higher-education,Afghanistan,,2012,,,
Afghanistan Institute of Technology,afghanistan-institute-of-technology,Afghanistan,,,,,
Afghanistan National Institute of Music,afghanistan-national-institute-of-music,Afghanistan,,2010,,,
Afghanistan Public Policy Research Organization,afghanistan-public-policy-research-organization,Afghanistan,,2008,,,
Afghanistan Technical Vocational Institute,afghanistan-technical-vocational-institute,Afghanistan,Kabul,2007,,,
AFI Conservatory,afi-conservatory,,,,,,
Africa Beza College,africa-beza-college,Ethiopia,,1999,,,
Africa Graduate University,africa-graduate-university,Uganda,Entebbe,2012,,,
Africa International University,africa-international-university,Kenya,,2011,,,
Africa Nazarene University,africa-nazarene-university,Kenya,,1994,,,
Africa University of Humanities and Applied Sciences,africa-university-of-humanities-and-applied-sciences,Libya,,,,,
African Bible College,african-bible-college-q4689708,Uganda,,2005,,,
African Bible College,african-bible-college,Malawi,Lilongwe,1989,,,
African Bible Colleges,african-bible-colleges,Liberia,Kampala,1976,,,
African Bible University,african-bible-university,Uganda,,2005,,,
African Centre of Excellence in Data Science,african-centre-of-excellence-in-data-science,Rwanda,,2018,,,
African Institute for Future Studies,african-institute-for-future-studies,Democratic Republic of the Congo,,1989,,,
African Institute For Mathematical Sciences Ghana,african-institute-for-mathematical-sciences-ghana,Ghana,,,,,
African Leadership University Rwanda,african-leadership-university-rwanda,Rwanda,,2017,,,
African Methodist Episcopal University,african-methodist-episcopal-university,Liberia,Monrovia,1995,,,
African Rural University,african-rural-university,Uganda,,2009,,,
African School of Economics (Abuja Campus),african-school-of-economics-abuja-campus,Nigeria,Abuja,2024,,,
African School of Governance,african-school-of-governance,Rwanda,,2024,,,
African University College of Communications,african-university-college-of-communications,Ghana,Accra,2002,,,
African University of Management,african-university-of-management,Gabon,Libreville,,,,
"African University of Social, Technical and Medical Sciences",african-university-of-social-technical-and-medical-sciences,Niger,Niamey,,,,
Afrikaanse Hoër Meisieskool,afrikaanse-hoer-meisieskool,,,,,,
Afrikaanse Hoër Seunskool,afrikaanse-hoer-seunskool,,,,,,
