University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
Northumbria University at Newcastle,United Kingdom,Europe,2026,550.0,52.0,30.0,16.6,19.1,18.2,30.6,64.5,63.6,81.5,20.0,77.8,United Kingdom,Northumbria University at Newcastle
Thammasat University,Thailand,Asia,2026,551.0,4.0,29.9,36.7,38.3,27.2,3.9,15.9,2.2,45.7,90.6,60.7,Thailand,Thammasat University
Universiti Tenaga Nasional (UNITEN),Malaysia,Asia,2026,551.0,13.0,29.9,9.5,19.9,76.6,34.1,34.7,70.5,55.7,5.3,48.7,Malaysia,Universiti Tenaga Nasional (UNITEN)
Hitotsubashi University,Japan,Asia,2026,553.0,14.0,29.8,19.7,78.1,42.2,4.0,31.3,33.5,11.7,57.5,32.2,Japan,Hitotsubashi University
University of Delaware,United States,Americas,2026,553.0,79.0,29.8,12.5,9.4,9.6,64.1,48.2,22.5,68.5,28.7,72.9,United States,University of Delaware
Lahore University of Management Sciences (LUMS),Pakistan,Asia,2026,555.0,4.0,29.7,21.4,77.3,28.8,16.5,10.8,3.1,26.2,48.4,45.0,Pakistan,Lahore University of Management Sciences (LUMS)
Indian Institute of Technology Indore,India,Asia,2026,556.0,12.0,29.6,8.0,16.9,28.8,96.9,1.8,1.3,28.2,5.3,34.7,India,Indian Institute of Technology Indore
University of Houston,United States,Americas,2026,556.0,80.0,29.6,18.7,24.9,8.1,30.2,48.0,43.9,74.1,67.3,57.1,United States,University of Houston
Al Ain University,United Arab Emirates,Asia,2026,558.0,7.0,29.5,25.6,20.8,20.8,17.0,100.0,100.0,37.1,7.3,42.9,United Arab Emirates,Al Ain University
Coventry University,United Kingdom,Europe,2026,558.0,53.0,29.5,16.0,18.5,21.8,14.8,85.1,99.5,84.3,18.4,71.2,United Kingdom,Coventry University
Jawaharlal Nehru University,India,Asia,2026,558.0,13.0,29.5,39.8,17.4,16.7,37.6,,1.7,56.9,20.6,59.3,India,Jawaharlal Nehru University
Sogang University,South Korea,Asia,2026,558.0,16.0,29.5,27.3,51.9,61.3,8.9,9.5,35.3,16.2,23.4,49.8,South Korea,Sogang University
University of Kwazulu-Natal,South Africa,Africa,2026,558.0,6.0,29.5,17.9,14.4,6.9,44.5,29.1,2.1,95.9,79.4,63.0,South Africa,University of Kwazulu-Natal
Ajou University,South Korea,Asia,2026,563.0,17.0,29.4,19.8,22.1,70.2,34.3,13.3,58.0,18.1,5.3,53.3,South Korea,Ajou University
American University of the Middle East,Kuwait,Asia,2026,563.0,1.0,29.4,25.9,34.7,28.9,8.9,100.0,36.9,67.2,6.1,47.2,Kuwait,American University of the Middle East
University of Debrecen,Hungary,Europe,2026,563.0,1.0,29.4,27.3,21.5,45.9,7.4,14.4,76.5,74.9,25.9,70.4,Hungary,University of Debrecen
Bangor University,United Kingdom,Europe,2026,566.0,54.0,29.3,12.8,10.5,18.9,44.4,38.1,77.4,74.7,16.9,78.0,United Kingdom,Bangor University
Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,Asia,2026,566.0,14.0,29.3,9.3,19.4,5.2,98.0,2.5,1.2,30.5,10.3,48.3,India,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi)
Renmin (People’s) University of China,China (Mainland),Asia,2026,566.0,39.0,29.3,29.7,50.0,21.3,16.6,8.9,9.1,26.0,83.6,44.5,China (Mainland),Renmin (People’s) University of China
Savitribai Phule Pune University,India,Asia,2026,566.0,14.0,29.3,11.1,20.3,47.1,63.8,,3.3,54.7,30.4,43.0,India,Savitribai Phule Pune University
University of Minho,Portugal,Europe,2026,566.0,6.0,29.3,22.2,17.1,28.3,38.6,21.3,26.0,83.6,15.7,67.7,Portugal,University of Minho
Colorado School of Mines,United States,Americas,2026,571.0,81.0,29.2,11.3,22.5,18.8,69.9,28.7,11.2,30.9,29.4,54.7,United States,Colorado School of Mines
Hacettepe University,Türkiye,Asia,2026,571.0,7.0,29.2,33.0,50.5,18.5,11.8,3.9,6.1,73.5,30.8,58.3,Türkiye,Hacettepe University
Isfahan University of Technology,Iran (Islamic Republic of),Asia,2026,571.0,5.0,29.2,7.8,22.6,6.4,97.7,2.2,3.9,45.7,9.6,28.0,Iran (Islamic Republic of),Isfahan University of Technology
Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio),Brazil,Americas,2026,571.0,5.0,29.2,42.5,23.5,17.2,14.6,16.1,2.6,46.1,73.4,51.3,Brazil,Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio)
Brno University of Technology,Czechia,Europe,2026,575.0,4.0,29.1,17.7,36.4,37.0,13.7,26.7,77.3,80.7,15.7,61.3,Czechia,Brno University of Technology
Chandigarh University,India,Asia,2026,575.0,16.0,29.1,22.4,70.0,34.2,2.8,44.5,25.1,66.3,1.7,44.0,India,Chandigarh University
Universität Jena,Germany,Europe,2026,575.0,34.0,29.1,23.4,10.4,100.0,12.7,,34.1,91.1,4.9,53.2,Germany,Universität Jena
Universidad Adolfo Ibáñez,Chile,Americas,2026,578.0,4.0,29.0,28.7,63.3,7.6,9.1,46.4,8.0,34.4,60.7,40.0,Chile,Universidad Adolfo Ibáñez
