name_a,name_b,similarity_score,category,reason,country_a,country_b,source_a,source_b,years_a,years_b,count_a,count_b
Universidad CatÃ³lica del Norte,Universidad Católica del Norte,0.9508,Safe to Merge,Identical after removing punctuation/encoding,Chile,Chile,qs_rankings,qs_rankings,[2021],"[2021, 2022, 2023, 2024]",1,4
Universidad de ValparaÃ­so (UV),Universidad de Valparaíso (UV),0.9508,Safe to Merge,Identical after removing punctuation/encoding,Chile,Chile,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Universidad Autónoma de Chapingo,Universidad Autónoma Chapingo,0.9508,Safe to Merge,Very high similarity (score >= 0.95),Mexico,Mexico,,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
UniversitÃ© Mohammed V de Rabat,Université Mohammed V de Rabat,0.9508,Safe to Merge,Identical after removing punctuation/encoding,Morocco,Morocco,qs_rankings,qs_rankings,[2021],"[2021, 2022, 2023, 2024]",1,4
Southeast University,Southwest University,0.95,Safe to Merge,Very high similarity (score >= 0.95),China,China,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Kogakuin University,Kokugakuin University,0.95,Safe to Merge,Very high similarity (score >= 0.95),Japan,Japan,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2024]",5,2
University of Malaya,University of Malaga,0.95,Safe to Merge,Very high similarity (score >= 0.95),Malaysia,Spain,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Pontificia Universidad Católica del Perú,Pontificia Universidad Catolica del Peru,0.95,Safe to Merge,Very high similarity (score >= 0.95),Peru,Peru,qs_rankings,,"[2020, 2021, 2022, 2023, 2024]",[2022],5,1
UNIVERSITY OF GDANSK,University of Gdańsk,0.95,Safe to Merge,Very high similarity (score >= 0.95),Poland,Poland,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Sousse,University of Sussex,0.95,Safe to Merge,Very high similarity (score >= 0.95),Tunisia,United Kingdom,the_rankings,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
"Essex, University of",Essex. University of,0.95,Safe to Merge,Identical after removing punctuation/encoding,United Kingdom,United Kingdom,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad Autónoma de Chile,Universidad AutÃ³noma de Chile,0.9492,Safe to Merge,Identical after removing punctuation/encoding,Chile,Chile,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Université Jean Moulin Lyon 3,UniversitÃ© Jean Moulin Lyon 3,0.9492,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidade Federal de GoiÃ¡s,Universidade Federal de Goiás,0.9492,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Escuela Politécnica Nacional,Escuela PolitÃ©cnica Nacional,0.9474,Safe to Merge,Identical after removing punctuation/encoding,Ecuador,Ecuador,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Philipps-Universität Marburg,Philipps-UniversitÃ¤t Marburg,0.9474,Safe to Merge,Identical after removing punctuation/encoding,Germany,Germany,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
UniversitÃ© de Caen Normandie,Université de Caen Normandie,0.9474,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,[2021],"[2021, 2022, 2023, 2024]",1,4
UniversitÃ© de Tunis El Manar,Université de Tunis El Manar,0.9474,Safe to Merge,Identical after removing punctuation/encoding,Tunisia,Tunisia,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná - UFPR,0.9459,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Università Cattolica del Sacro Cuore,UniversitÃ Â Cattolica del Sacro Cuore,0.9459,Safe to Merge,Identical after removing punctuation/encoding,Italy,Italy,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Technische Universität Wien,Technische UniversitÃ¤t Wien,0.9455,Safe to Merge,Identical after removing punctuation/encoding,Austria,Austria,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Istanbul Bilgi Ãœniversitesi,Istanbul Bilgi Üniversitesi,0.9455,Safe to Merge,Identical after removing punctuation/encoding,Turkey,Turkey,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Palacký University Olomouc,PalackÃ½ University Olomouc,0.9434,Safe to Merge,Identical after removing punctuation/encoding,Czechia,Czechia,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
