Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
91;207;Universitat Autonoma de Barcelona *;ESP;Universities;1
92;209;Harvard-MIT Division of Health Sciences and Tecnology;USA;Universities;1
93;212;University of Pittsburgh *;USA;Universities;1
94;217;Emory University *;USA;Universities;1
95;220;Weill Cornell Medicine;USA;Universities;1
96;221;University of Texas, Austin;USA;Universities;1
97;228;Universite de Paris Cite *;FRA;Universities;1
98;229;Shenzhen University *;CHN;Universities;1
99;232;University of Groningen *;NLD;Universities;1
100;235;Universite Paris-Saclay *;FRA;Universities;1
101;237;Universita degli Studi di Roma La Sapienza;ITA;Universities;1
102;238;Yonsei University *;KOR;Universities;1
103;240;Peking University Health Science Center;CHN;Universities;1
104;248;Erasmus University Rotterdam *;NLD;Universities;1
105;250;Dalian University of Technology *;CHN;Universities;1
106;251;Universita degli Studi di Milano;ITA;Universities;1
107;255;Purdue University;USA;Universities;1
108;256;Hong Kong Polytechnic University *;HKG;Universities;1
109;259;Leiden University *;NLD;Universities;1
110;262;University of Alberta;CAN;Universities;1
111;264;King Saud University *;SAU;Universities;1
112;266;Carnegie Mellon University *;USA;Universities;1
113;267;Soochow University, Suzhou *;CHN;Universities;1
114;269;Xidian University *;CHN;Universities;1
115;270;Georgia Institute of Technology *;USA;Universities;1
116;272;Boston University *;USA;Universities;1
117;274;Korea University *;KOR;Universities;1
118;275;Xiamen University *;CHN;Universities;1
119;282;Universita degli Studi di Padova;ITA;Universities;1
120;288;Capital Medical University *;CHN;Universities;1
121;293;Aarhus University *;DNK;Universities;1
122;294;Hunan University;CHN;Universities;1
123;295;Icahn School of Medicine at Mount Sinai;USA;Universities;1
124;298;Universita degli Studi di Napoli Federico II;ITA;Universities;1
125;302;Rutgers, The State University of New Jersey;USA;Universities;1
126;303;L'Alma Mater Studiorum - Universita di Bologna;ITA;Universities;1
127;313;Universitat Zurich;CHE;Universities;1
128;314;Texas A&M University, College Station *;USA;Universities;1
129;316;University of Nottingham *;GBR;Universities;1
130;320;University of Utah *;USA;Universities;1
131;323;Nanjing University of Aeronautics and Astronautics;CHN;Universities;1
132;329;University of California, Irvine *;USA;Universities;1
133;330;Ghent University *;BEL;Universities;1
134;337;Universidad Nacional Autonoma de Mexico;MEX;Universities;1
135;342;City University of Hong Kong *;HKG;Universities;1
136;343;University of Maryland, College Park *;USA;Universities;1
137;347;Nankai University *;CHN;Universities;1
138;348;Jiangnan University *;CHN;Universities;1
139;349;Uppsala University *;SWE;Universities;1
140;351;University of Glasgow *;GBR;Universities;1
141;355;Beijing University of Posts and Telecommunications;CHN;Universities;1
142;357;Arizona State University *;USA;Universities;1
143;359;Delft University of Technology *;NLD;Universities;1
144;363;Ludwig-Maximilians Universitat Munchen *;DEU;Universities;1
145;365;The Rockefeller University *;USA;Universities;1
146;366;Korea Advanced Institute of Science and Technology *;KOR;Universities;1
147;368;University of Helsinki *;FIN;Universities;1
