country_code,country_name,year,gdp_per_capita_usd,education_expenditure_pct_gdp,tertiary_enrollment_ratio,population,literacy_rate_pct,data_source,download_timestamp_utc
BRN,Brunei Darussalam,2021,31006.9636289785,,27.4258937503291,451721.0,,World Bank API,2026-07-13 06:56:42 UTC
BRN,Brunei Darussalam,2022,36632.9280952155,,31.1925368707703,455370.0,,World Bank API,2026-07-13 06:56:42 UTC
BRN,Brunei Darussalam,2023,32890.5491812019,,36.4182725443167,458949.0,,World Bank API,2026-07-13 06:56:42 UTC
BRN,Brunei Darussalam,2024,33153.4738913513,,,462721.0,,World Bank API,2026-07-13 06:56:42 UTC
BGR,Bulgaria,2020,10760.7616180234,4.48298978805542,85.5331115722656,6550696.0,,World Bank API,2026-07-13 06:56:42 UTC
BGR,Bulgaria,2021,12966.8085197381,4.7092399597168,85.3017501831055,6507301.0,,World Bank API,2026-07-13 06:56:42 UTC
BGR,Bulgaria,2022,13999.9113358453,4.50109004974365,84.1293563842773,6465097.0,,World Bank API,2026-07-13 06:56:42 UTC
BGR,Bulgaria,2023,15854.0192893772,,79.8532333374023,6446596.0,,World Bank API,2026-07-13 06:56:42 UTC
BGR,Bulgaria,2024,17596.9167621233,,69.5460433959961,6441421.0,,World Bank API,2026-07-13 06:56:42 UTC
BFA,Burkina Faso,2020,825.237038782475,5.21148277030166,7.64277062242324,21478690.0,,World Bank API,2026-07-13 06:56:42 UTC
BFA,Burkina Faso,2021,895.535288442991,5.24913346712028,9.30513098594236,21995243.0,36.9700012207031,World Bank API,2026-07-13 06:56:42 UTC
BFA,Burkina Faso,2022,827.330843486661,5.29456753304241,9.67069485831779,22509038.0,40.9199981689453,World Bank API,2026-07-13 06:56:42 UTC
BFA,Burkina Faso,2023,873.198061670247,5.32757840997187,10.1078755635882,23025776.0,41.5670909952631,World Bank API,2026-07-13 06:56:42 UTC
BFA,Burkina Faso,2024,982.493100418428,,10.0419678526515,23548781.0,,World Bank API,2026-07-13 06:56:42 UTC
BDI,Burundi,2020,252.702452750006,5.32158506838731,,12617036.0,71.3374789737041,World Bank API,2026-07-13 06:56:42 UTC
BDI,Burundi,2021,264.172844085398,4.87114173892375,,12965481.0,,World Bank API,2026-07-13 06:56:42 UTC
BDI,Burundi,2022,301.832255755105,,,13321097.0,,World Bank API,2026-07-13 06:56:42 UTC
BDI,Burundi,2023,249.795164039029,,6.02545976638794,13689450.0,,World Bank API,2026-07-13 06:56:42 UTC
BDI,Burundi,2024,216.231928531758,,,14047786.0,,World Bank API,2026-07-13 06:56:42 UTC
CPV,Cabo Verde,2020,3539.22661248299,7.09400702406662,,514679.0,,World Bank API,2026-07-13 06:56:42 UTC
CPV,Cabo Verde,2021,3971.44409203423,6.15490303089284,,516649.0,,World Bank API,2026-07-13 06:56:42 UTC
CPV,Cabo Verde,2022,4323.31362032709,4.7252554800722,,519741.0,,World Bank API,2026-07-13 06:56:42 UTC
CPV,Cabo Verde,2023,4794.90119772843,4.3482854136693,,522331.0,,World Bank API,2026-07-13 06:56:42 UTC
CPV,Cabo Verde,2024,5170.20531932535,,,524877.0,88.4700012207031,World Bank API,2026-07-13 06:56:42 UTC
KHM,Cambodia,2020,2081.73914242939,2.2476462495972,13.8767573747135,16725474.0,82.5510430822563,World Bank API,2026-07-13 06:56:42 UTC
KHM,Cambodia,2021,2167.40324198499,1.96232691812756,13.5005634857238,16974305.0,71.9300003051758,World Bank API,2026-07-13 06:56:42 UTC
KHM,Cambodia,2022,2325.03050040841,1.95793279576416,14.6069513022825,17201724.0,,World Bank API,2026-07-13 06:56:42 UTC
KHM,Cambodia,2023,2429.74853452838,2.1809128340295,17.4362364390629,17423880.0,,World Bank API,2026-07-13 06:56:42 UTC
KHM,Cambodia,2024,2627.87969756224,,21.4437426836662,17638801.0,,World Bank API,2026-07-13 06:56:42 UTC
CMR,Cameroon,2020,1555.60370660749,3.10390139858492,15.5519566247682,26210558.0,,World Bank API,2026-07-13 06:56:42 UTC
CMR,Cameroon,2021,1672.32657340872,2.8493076272306,17.1581831920239,26915758.0,,World Bank API,2026-07-13 06:56:42 UTC
CMR,Cameroon,2022,1604.87726954895,2.65952378267367,16.4371527754335,27632771.0,,World Bank API,2026-07-13 06:56:42 UTC
CMR,Cameroon,2023,1720.47510154506,2.83907623667935,16.0404395184936,28372687.0,,World Bank API,2026-07-13 06:56:42 UTC
CMR,Cameroon,2024,1830.00833684727,,16.6614294830602,29123744.0,,World Bank API,2026-07-13 06:56:42 UTC
CAN,Canada,2020,43537.8981198851,4.88794994354248,75.2389068603516,38028638.0,,World Bank API,2026-07-13 06:56:42 UTC
CAN,Canada,2021,52886.6407813788,4.74858999252319,79.7657318115234,38239864.0,,World Bank API,2026-07-13 06:56:42 UTC
CAN,Canada,2022,56496.9275340663,4.84426021575928,78.8488311767578,38950132.0,,World Bank API,2026-07-13 06:56:42 UTC
CAN,Canada,2023,54847.5370112652,,76.2666931152344,40049088.0,,World Bank API,2026-07-13 06:56:42 UTC
CAN,Canada,2024,55015.7066917734,,,41262329.0,,World Bank API,2026-07-13 06:56:42 UTC
CSS,Caribbean small states,2020,11961.4085449634,4.22041988372803,,4459302.0,,World Bank API,2026-07-13 06:56:42 UTC
CSS,Caribbean small states,2021,13996.4475071755,3.04397988319397,,4479167.0,,World Bank API,2026-07-13 06:56:42 UTC
CSS,Caribbean small states,2022,17449.5193422186,2.81801009178162,,4497310.0,,World Bank API,2026-07-13 06:56:42 UTC
CSS,Caribbean small states,2023,17609.6827071212,3.23358011245727,,4519904.0,,World Bank API,2026-07-13 06:56:42 UTC
CSS,Caribbean small states,2024,19923.5745910977,,,4539060.0,,World Bank API,2026-07-13 06:56:42 UTC
CYM,Cayman Islands,2020,82338.7977439023,1.45542001724243,,68684.0,,World Bank API,2026-07-13 06:56:42 UTC
CYM,Cayman Islands,2021,86449.6749037302,1.31253004074097,,70108.0,,World Bank API,2026-07-13 06:56:42 UTC
CYM,Cayman Islands,2022,92937.8838323153,1.48894000053406,,71591.0,,World Bank API,2026-07-13 06:56:42 UTC
CYM,Cayman Islands,2023,100065.233841107,1.57024002075195,,73038.0,,World Bank API,2026-07-13 06:56:42 UTC
