university_id,university_name,country,openalex_name,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U000287,Birzeit university,"Palestinian Territory, Occupied",Birzeit University,https://openalex.org/I94800806,3600,166840,132,1882,3.109022556390977
U000288,Bishop Grosseteste University,United Kingdom,Bishop Grosseteste University,https://openalex.org/I2801155571,967,9342,43,228,0.9340974212034384
U000290,Bocconi University,Italy,Bocconi University,https://openalex.org/I71209653,21431,815411,350,9768,2.517704280155642
U000292,Boğaziçi University,Turkey,Boğaziçi University,https://openalex.org/I4405392,24441,1952392,396,27860,3.686943836615609
U000296,Bond University,Australia,Bond University,https://openalex.org/I120125038,15220,724742,273,8250,3.159878682842288
U000297,Boston College,United States,Boston College,https://openalex.org/I103531236,47106,3566007,571,30786,3.3530248331692376
U000298,Boston University,United States,Boston University,https://openalex.org/I111088046,198547,24562912,1349,249003,4.001540261259505
U000299,Botswana International University of Science and Technology (BIUST),Botswana,Botswana International University of Science and Technology,https://openalex.org/I216286881,4186,89535,108,1985,2.9069055944055946
U000300,Bournemouth University,United Kingdom,Bournemouth University,https://openalex.org/I9300472,21045,827798,289,12389,2.858806918460995
U000301,Bowen University,Nigeria,Bowen University,https://openalex.org/I200433483,3834,42281,73,1055,3.2430923806865755
U000302,Bowling Green State University,United States,Bowling Green State University,https://openalex.org/I157417397,27592,1149826,353,16506,1.9606275902901125
U000304,BRAC University,Bangladesh,BRAC University,https://openalex.org/I5518804,8789,174848,149,3784,3.4214680347277038
U000305,Brandeis University,United States,Brandeis University,https://openalex.org/I6902469,36187,5530705,649,58795,4.172863351038146
U000306,Brigham Young University,United States,Brigham Young University,https://openalex.org/I100005738,74859,3695658,562,53542,1.6181988742964353
U000307,Brighton and Sussex Medical School,United Kingdom,Brighton and Sussex Medical School,https://openalex.org/I100063501,9922,531719,275,7019,2.8427973699940225
U000308,British University in Egypt,Egypt,British University in Egypt,https://openalex.org/I154023281,6976,131381,111,3243,3.1590848629954773
U000309,Brno University of Technology,Czech Republic,Brno University of Technology,https://openalex.org/I60587646,32182,1044735,241,22358,2.090105232388191
U000310,Brock University,Canada,Brock University,https://openalex.org/I186803428,23541,921633,302,16163,2.342279599116698
U000311,Brown University,United States,Brown University,https://openalex.org/I27804330,137886,14502674,1003,170200,3.783462284835808
U000313,Bu-Ali Sina University,Iran,Bu-Ali Sina University,https://openalex.org/I167694869,15492,541528,193,12688,3.6043342269883833
U000314,Bucharest University of Economic Studies,Romania,Bucharest University of Economic Studies,https://openalex.org/I88491126,15268,227695,149,4886,3.0983030117719004
U000315,Buckinghamshire New University,United Kingdom,Buckinghamshire New University,https://openalex.org/I19668297,2555,66835,122,1159,1.749190938511327
U000316,Budapest University of Technology and Economics,Hungary,Budapest University of Technology and Economics,https://openalex.org/I29770179,39256,1248481,275,27766,2.0981026953772024
