university_id,university_name,country,matched_name,score,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U002394,Universidad de Santander - UDES,Colombia,Universidad De Santander,90.56603773584906,https://openalex.org/I4210150934,3435,87430,115,1085,1.0015495867768596
U002398,Universidad de Talca,Chile,Universidad del Tacana,90.47619047619048,https://openalex.org/I4210140344,335,9859,49,251,1.6363636363636365
U002404,Universidad del Cauca,Colombia,Universidad del Alica,90.47619047619048,https://openalex.org/I4210145070,13,1219,24,24,0.0
U002420,Universidad ICESI,Colombia,Universidad CES,93.75,https://openalex.org/I4210128920,3261,51698,73,948,1.405298013245033
U002442,Universidad Nacional de Córdoba - UNC,Argentina,Universidad Nacional de Córdoba,93.93939393939394,https://openalex.org/I166401450,43404,1469276,302,30766,1.7059635798739967
U002446,Universidad Nacional de la Asunción,Paraguay,Universidad Nacional de Asunción,95.52238805970148,https://openalex.org/I8379220,9464,158750,130,2614,0.7273560689402273
U002448,Universidad Nacional de Mar del Plata,Argentina,Universidad Nacional de La Plata,92.7536231884058,https://openalex.org/I874386039,68068,2529544,406,51890,1.665191655651974
U002449,Universidad Nacional de Quilmes,Argentina,Universidad Nacional de Tumbes,91.80327868852459,https://openalex.org/I4210132758,1094,6323,32,155,0.5941676792223572
U002451,Universidad Nacional de Río Cuarto - UNRC,Argentina,Universidad Nacional de Río Cuarto,93.15068493150685,https://openalex.org/I15366983,8502,409549,185,9587,2.000751314800901
U002453,Universidad Nacional de San Luis,Argentina,Universidad Nacional del Santa,90.32258064516128,https://openalex.org/I4210132264,1239,7305,30,201,0.8361581920903954
U002467,UNIVERSIDAD POLITECNICA SALESIANA,Ecuador,Politecnica Salesiana University,92.3076923076923,https://openalex.org/I3132940433,6503,66047,79,1485,1.049162730785745
U002482,Universidad Tecnológica de Pereira,Colombia,Universidad Tecnológica del Perú,92.3076923076923,https://openalex.org/I4210148428,4546,16925,48,446,1.2168746286393346
U002484,Universidad Tecnológica Nacional (UTN),Argentina,Universidad Nacional Tecnológica,94.11764705882352,https://openalex.org/I4210137073,709,2975,26,77,0.2393162393162393
