university_name,normalized_name,country,year,source
University of Technology Sydney,university of technology sydney,Australia,2017,QS
Queen's University Belfast,queen s university belfast,United Kingdom,2017,QS
Stockholm University,stockholm university,Sweden,2017,QS
University of Calgary,university of calgary,Canada,2017,QS
Western University,western university,Canada,2017,QS
Vrije Universiteit Amsterdam,vrije universiteit amsterdam,Netherlands,2017,QS
Universidad de Chile,universidad de chile,Chile,2017,QS
Waseda University,waseda university,Japan,2017,QS
Case Western Reserve University,case western reserve university,United States,2017,QS
Universitat Autònoma de Barcelona,universitat autonoma de barcelona,Spain,2017,QS
Vanderbilt University,vanderbilt university,United States,2017,QS
University of Notre Dame,university of notre dame,United States,2017,QS
Université Grenoble Alpes,universite grenoble alpes,France,2017,QS
Tecnológico de Monterrey,tecnologico de monterrey,Mexico,2017,QS
Alma Mater Studiorum - University of Bologna,alma mater studiorum university of bologna,Italy,2017,QS
University of Antwerp,university of antwerp,Belgium,2017,QS
