university_id,university_name,country,alias,normalized_alias
U000221,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",Nigeria,"Bamidele Olumilua University of Education, Science and Technology, Ikere Ikiti",bamidele olumilua university of education science and technology ikere ikiti
U000221,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",Nigeria,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",bamidele olumilua university of education science and technology ikereikiti
U000222,Banaras Hindu University,India,Banaras Hindu University,banaras hindu university
U000223,Banasthali University,India,Banasthali University,banasthali university
U000224,Bandirma Onyedi Eylül University,Turkey,Bandirma Onyedi Eylül University,bandirma onyedi eyll university
U000225,Bandung Institute of Technology (ITB),Indonesia,Bandung Institute of Technology,bandung institute of technology
U000225,Bandung Institute of Technology (ITB),Indonesia,Bandung Institute of Technology (ITB),bandung institute of technology itb
U000226,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,Bangabandhu Sheikh Mujibur Rahman Agricultural University,bangabandhu sheikh mujibur rahman agricultural university
U000227,Bangladesh Agricultural University (BAU),Bangladesh,Bangladesh Agricultural University,bangladesh agricultural university
U000227,Bangladesh Agricultural University (BAU),Bangladesh,Bangladesh Agricultural University (BAU),bangladesh agricultural university bau
U000228,Bangladesh University of Engineering and Technology,Bangladesh,Bangladesh University of Engineering and Technology,bangladesh university of engineering and technology
U000229,Bangor University,United Kingdom,Bangor University,bangor university
U000230,Banking University,Ukraine,Banking University,banking university
U000231,Bar-Ilan University,Israel,Bar Ilan University,bar ilan university
U000231,Bar-Ilan University,Israel,Bar-Ilan University,barilan university
U000232,Barawa International University,Somalia,Barawa International University,barawa international university
U000233,Bartin University,Turkey,Bartin University,bartin university
U000234,Bashkir State Medical University,Russian Federation,Bashkir State Medical University,bashkir state medical university
U000235,Bashkir State University,Russian Federation,Bashkir State University,bashkir state university
U000236,Başkent University,Turkey,Başkent University,bakent university
U000237,Basrah University College of Science and Technology,Iraq,Basrah University College of Science and Technology,basrah university college of science and technology
U000238,Bath Spa University,United Kingdom,Bath Spa University,bath spa university
U000239,Bauman Moscow State Technical University,Russia,Bauman Moscow State Technical University,bauman moscow state technical university
U000240,Bayburt University,Turkey,Bayburt University,bayburt university
U000241,Bayero University,Nigeria,Bayero University,bayero university
U000242,Baylor College of Medicine,United States,Baylor College of Medicine,baylor college of medicine
U000243,Baylor University,United States,Baylor University,baylor university
U000244,Baze University,Nigeria,Baze University,baze university
U000245,Beihang University (former BUAA),China (Mainland),Beihang University,beihang university
