university_id,university_name,country,source,year
U001149,Kitami Institute of Technology,Japan,THE,2022
U001154,Kobe Gakuin University,Japan,THE,2022
U001155,Kobe International University,Japan,THE,2022
U001166,Kokugakuin University,Japan,THE,2022
U001167,Komazawa University,Japan,THE,2022
U001168,Konan University,Japan,THE,2022
U001169,Konan Women’s University,Japan,THE,2022
U001171,Konya Technical University,Turkey,THE,2022
U001175,Korea Aerospace University,South Korea,THE,2022
U003000,University of Kufa,Iraq,THE,2022
U001188,Kursk State Medical University,Russian Federation,THE,2022
U001190,Kütahya Health Sciences University,Turkey,THE,2022
U001196,Kyiv National Economic University,Ukraine,THE,2022
U001197,Kyoai Gakuen University,Japan,THE,2022
U001200,Kyoto Notre Dame University,Japan,THE,2022
U001201,Kyoto Prefectural University,Japan,THE,2022
U001214,Lagos State University,Nigeria,THE,2022
U001211,La Salle University,Colombia,THE,2022
U003013,University of Las Américas (UDLA),Ecuador,THE,2022
U001227,Leeds Arts University,United Kingdom,THE,2022
U001230,Leeds Trinity University,United Kingdom,THE,2022
U001234,Lesya Ukrainka Volyn National University,Ukraine,THE,2022
U001238,Lincoln University College,Malaysia,THE,2022
U001243,Liverpool Hope University,United Kingdom,THE,2022
U001244,Liverpool Institute for Performing Arts,United Kingdom,THE,2022
U002167,The LNM Institute of Information Technology,India,THE,2022
U001254,London Business School,United Kingdom,THE,2022
U001255,London Metropolitan University,United Kingdom,THE,2022
U001257,London School of Hygiene and Tropical Medicine,United Kingdom,THE,2022
U003034,University of Los Lagos,Chile,THE,2022
U001270,Lusophone University of Humanities and Technologies,Portugal,THE,2022
U003039,University of Macerata (UNIMC),Italy,THE,2022
U002684,Universiti Malaysia Kelantan,Malaysia,THE,2022
U001292,Management Development Institute (MDI),India,THE,2022
U001291,Management & Science University (MSU),Malaysia,THE,2022
U003046,University of Management and Technology,Pakistan,THE,2022
U001305,Maritime University of Szczecin,Poland,THE,2022
U002427,Universidad Mayor,Chile,THE,2022
U003065,University of Medellín,Colombia,THE,2022
U001330,Meiji Gakuin University,Japan,THE,2022
U001333,Meikai University,Japan,THE,2022
U001349,Middle Technical University,Iraq,THE,2022
U001364,Mizoram University,India,THE,2022
U001366,"MNS University of Agriculture, Multan",Pakistan,THE,2022
U001367,Modern University for Business and Science,Lebanon,THE,2022
U003095,University of Monterrey,Mexico,THE,2022
U001384,Moscow State University of Design and Technology,Russian Federation,THE,2022
U001809,Russian Biotechnological University (BIOTECH),Russian Federation,THE,2022
U001382,Moscow State Linguistic University,Russian Federation,THE,2022
U001385,Moscow State University of Technology (STANKIN),Russian Federation,THE,2022
U003098,University of Mosul,Iraq,THE,2022
U001586,October University for Modern Sciences and Arts (MSA),Egypt,THE,2022
U001390,Mukogawa Women’s University,Japan,THE,2022
U001395,Musashino University,Japan,THE,2022
U001397,Mutah University,Jordan,THE,2022
U002440,Universidad Nacional de Chimborazo,Ecuador,THE,2022
U001404,Nagoya University of Commerce & Business,Japan,THE,2022
U001406,Nakhchivan State University,Azerbaijan,THE,2022
U001407,Nakhon Ratchasima Rajabhat University,Thailand,THE,2022
U001426,Nara Women’s University,Japan,THE,2022
U001430,National Agrarian University La Molina,Peru,THE,2022
U001433,National Aviation University,Ukraine,THE,2022
U001449,National Institute of Industrial Engineering,India,THE,2022
U001479,National University Odessa Law Academy,Ukraine,THE,2022
U002170,The National University of Ostroh Academy,Ukraine,THE,2022
U001494,National University of Quilmes,Argentina,THE,2022
U001497,"National University of Science and Technology, Oman",Oman,THE,2022
U001476,National Transport University,Ukraine,THE,2022
U001493,National University of Mongolia,Mongolia,THE,2022
U001503,National University of Water and Environmental Engineering,Ukraine,THE,2022
U001506,National University “Yuri Kondrautyuk Poltava Polytechnic,Ukraine,THE,2022
U001514,NED University of Engineering and Technology,Pakistan,THE,2022
U001521,Newman University,United Kingdom,THE,2022
U001527,Nihon Pharmaceutical University,Japan,THE,2022
U001529,Niigata University of Health and Welfare,Japan,THE,2022
U003121,University of Niigata Prefecture,Japan,THE,2022
U003130,University of Northampton,United Kingdom,THE,2022
U001539,North-Caucasus Federal University,Russian Federation,THE,2022
U001551,Northern Border University,Saudi Arabia,THE,2022
U001555,Northern Technical University,Iraq,THE,2022
U001565,Norwich University of the Arts,United Kingdom,THE,2022
U001567,Notre Dame University Louaize,Lebanon,THE,2022
U003134,University of Nova Gorica,Slovenia,THE,2022
U001577,Nueva Granada Military University,Colombia,THE,2022
U001585,October 6 University,Egypt,THE,2022
U001589,Ogarev Mordovia State University,Russian Federation,THE,2022
U001594,Okayama Prefectural University,Japan,THE,2022
U002645,Université d’Oran 2 Mohamed Ben Ahmed,Algeria,THE,2022
U001613,Orel State Agrarian University named after N.V. Parahin,Russian Federation,THE,2022
U001615,ORT Uruguay University,Uruguay,THE,2022
U001624,Osaka University of Economics and Law,Japan,THE,2022
U001621,Osaka Ohtani University,Japan,THE,2022
U001627,Ostrogradsky National University of Kremenchuk,Ukraine,THE,2022
U002463,Universidad Panamericana (UP),Mexico,THE,2022
U002465,Universidad Peruana de Ciencias Aplicadas (UPC),Peru,THE,2022
U001665,Petersburg State Transport University,Russian Federation,THE,2022
U003166,University of Petra,Jordan,THE,2022
U001674,Platov South-Russian State Polytechnic University (NPI),Russian Federation,THE,2022
U001676,Plymouth Marjon University,United Kingdom,THE,2022
U001682,Poltava V.G. Korolenko National Pedagogical University (PNPU),Ukraine,THE,2022
U001684,Polytechnic Institute of Setúbal,Portugal,THE,2022
U001703,Pontificia Universidad Católica del Ecuador,Ecuador,THE,2022
U002470,Universidad Popular Autónoma del Estado de Puebla,Mexico,THE,2022
U001719,Prefectural University of Hiroshima,Japan,THE,2022
U001722,Prince Mohammad Bin Fahd University,Saudi Arabia,THE,2022
U001726,Princess Nourah bint Abdulrahman University,Saudi Arabia,THE,2022
U001725,Prince Sultan University (PSU),Saudi Arabia,THE,2022
U003181,"University of Professional Studies, Accra",Ghana,THE,2022
U001730,Prydniprovska State Academy of Civil Engineering and Architecture,Ukraine,THE,2022
U003183,University of Puthisastra,Cambodia,THE,2022
U001740,Pyatigorsk State University,Russian Federation,THE,2022
U001749,Queen Margaret University,United Kingdom,THE,2022
U001761,Rajamangala University of Technology Lanna,Thailand,THE,2022
U001764,Ravensbourne,United Kingdom,THE,2022
U001765,Rawalpindi Medical University,Pakistan,THE,2022
U001783,Ritsumeikan Asia Pacific University (APU),Japan,THE,2022
U002175,The Rockefeller University,United States,THE,2022
U001788,Rose Bruford College,United Kingdom,THE,2022
U001790,Rostov State University of Economics,Russian Federation,THE,2022
U001794,Royal Academy of Music,United Kingdom,THE,2022
U001795,Royal Agricultural University,United Kingdom,THE,2022
U001796,"Royal Central School of Speech and Drama, University of London",United Kingdom,THE,2022
U001798,Royal College of Art,United Kingdom,THE,2022
U001799,Royal College of Music,United Kingdom,THE,2022
U001800,Royal Conservatoire of Scotland,United Kingdom,THE,2022
U001802,Royal Northern College of Music,United Kingdom,THE,2022
U001813,Russian University of State for Social (RUSS),Russian Federation,THE,2022
U001819,Ryazan State Medical University,Russian Federation,THE,2022
U003198,University of Sadat City,Egypt,THE,2022
U001833,Saint Petersburg State Pediatric Medical University,Russian Federation,THE,2022
U001835,Saint Petersburg State University of Architecture and Civil Engineering,Russian Federation,THE,2022
U001836,"Saint Thomas University, Colombia",Colombia,THE,2022
U001847,Samara State Medical University,Russian Federation,THE,2022
U002473,Universidad San Ignacio de Loyola,Peru,THE,2022
U003208,University of San Martín de Porres,Peru,THE,2022
U003210,University of Santander,Colombia,THE,2022
U001862,Sapporo Gakuin University,Japan,THE,2022
U001865,Saratov State Medical University,Russian Federation,THE,2022
U001867,Sasin School of Management,Thailand,THE,2022
U001871,Satya Wacana Christian University,Indonesia,THE,2022
U001872,Saudi Electronic University,Saudi Arabia,THE,2022
U001875,SBS Swiss Business School,Switzerland,THE,2022
U002350,Universidad Científica del Sur,Peru,THE,2022
U001885,Seinan Gakuin University,Japan,THE,2022
U001886,Seisa Dohto University,Japan,THE,2022
U001892,Senshu University,Japan,THE,2022
U003007,University of La Serena,Chile,THE,2022
U001895,Setsunan University,Japan,THE,2022
U001897,SGH Warsaw School of Economics,Poland,THE,2022
U002199,The University of Shiga Prefecture,Japan,THE,2022
U001932,Shonan Institute of Technology,Japan,THE,2022
U001933,Shoolini University of Biotechnology and Management Sciences,India,THE,2022
U001935,Shri Mata Vaishno Devi University,India,THE,2022
U001938,Siberian State Industrial University,Russian Federation,THE,2022
U001945,Silesian University in Opava,Czech Republic,THE,2022
U001949,Simón Bolívar University (Colombia),Colombia,THE,2022
U001955,Skolkovo Institute of Science and Technology (Skoltech),Russian Federation,THE,2022
U001964,Sohar University,Oman,THE,2022
U001965,Soka University,Japan,THE,2022
U001967,"Solent University, Southampton",United Kingdom,THE,2022
U001975,Soran University,Iraq,THE,2022
U003250,University of South Santa Catarina (Unisul),Brazil,THE,2022
U001996,Sri Lanka Institute of Information Technology,Sri Lanka,THE,2022
U002015,State University of Bahia,Brazil,THE,2022
U002006,St Luke’s International University,Japan,THE,2022
U002008,"St Mary’s University College, Belfast",United Kingdom,THE,2022
U002009,"St Mary’s University, Twickenham",United Kingdom,THE,2022
U002028,Stranmillis University College,United Kingdom,THE,2022
U002031,Suez University,Egypt,THE,2022
U003265,University of Suffolk,United Kingdom,THE,2022
U002032,Sugiyama Jogakuen University,Japan,THE,2022
U002579,Universitas Sumatera Utara,Indonesia,THE,2022
U003267,University of Sunderland,United Kingdom,THE,2022
U003274,University of Taipei,Taiwan,THE,2022
U002063,Takushoku University,Japan,THE,2022
U002066,Tama Art University,Japan,THE,2022
U002073,Tarbiat Modares University,Iran,THE,2022
U002077,Tashkent Institute of Finance,Uzbekistan,THE,2022
U002078,Tashkent Institute of Irrigation and Agricultural Mechanisation,Uzbekistan,THE,2022
U002080,Tashkent Medical Academy,Uzbekistan,THE,2022
U002081,Tashkent Pediatric Medical Institute,Uzbekistan,THE,2022
U002082,Tashkent Pharmaceutical Institute,Uzbekistan,THE,2022
U002088,Tashkent State University of Economics,Uzbekistan,THE,2022
U002089,Tashkent State University of Law,Uzbekistan,THE,2022
U002092,Tata Institute of Fundamental Research,India,THE,2022
U002093,Tatung University,Taiwan,THE,2022
U002119,Technological University of Pereira,Colombia,THE,2022
U002120,Tecmilenio University,Mexico,THE,2022
U002479,Universidad Tecnológica de Bolívar,Colombia,THE,2022
U000937,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,THE,2022
U002121,Tecnológico de Costa Rica,Costa Rica,THE,2022
U000939,Instituto Tecnológico Metropolitano,Colombia,THE,2022
U002127,Teikyo Heisei University,Japan,THE,2022
U002134,Temuco Catholic University,Chile,THE,2022
U002135,Tenri University,Japan,THE,2022
U002140,Texas A&M University-Commerce,United States,THE,2022
U003313,University of the Thai Chamber of Commerce,Thailand,THE,2022
U002183,The University of Danang,Vietnam,THE,2022
U002214,Tikrit University,Iraq,THE,2022
U002219,Togliatti State University,Russian Federation,THE,2022
U002221,Tohoku Gakuin University,Japan,THE,2022
