year,country,region,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
2025,Ukraine,Europe,1533.0,22,705.5,25.97,12.74,9.02,10.95
2023,Ethiopia,Africa,594.5,2,548.0,39.58,43.74,43.64,0.0
2025,United Kingdom,Europe,552.13,123,2.0,45.45,32.09,34.62,32.34
2021,Netherlands,Europe,165.21,14,57.0,50.2,46.4,49.7,25.21
2016,Hungary,Europe,657.33,6,518.0,21.67,20.7,22.64,10.83
2025,Japan,Asia,1288.24,121,32.0,27.87,22.53,19.61,5.07
2026,Kazakhstan,Asia,917.63,22,166.0,40.08,20.73,4.62,20.19
2018,United Kingdom,Europe,409.58,108,5.0,44.57,43.53,43.66,24.19
2018,Lithuania,Europe,651.75,4,405.5,26.04,24.95,23.22,8.49
2026,Saudi Arabia,Asia,788.07,38,67.0,42.47,28.29,30.02,13.2
2018,Italy,Europe,510.5,56,156.0,39.78,40.13,39.67,56.77
2022,Netherlands,Europe,159.64,14,55.0,52.28,51.74,54.65,23.84
2024,South Korea,Asia,723.42,48,41.0,38.28,23.28,26.84,12.94
2022,France,Europe,673.89,62,41.0,41.89,41.84,41.43,17.98
2024,Slovakia,Europe,1167.5,9,775.5,31.08,15.71,12.12,14.51
2022,Taiwan,Asia,964.78,43,68.0,25.29,26.47,24.49,7.33
2021,Czech Republic,Europe,861.82,19,260.0,23.33,24.74,23.53,7.71
2021,Vietnam,Asia,1021.4,5,900.5,28.05,22.18,26.39,1.01
2024,Slovenia,Europe,867.17,3,625.5,28.49,10.03,6.03,12.67
2018,Mexico,Latin America,799.95,22,122.0,24.09,24.74,23.52,382.58
2021,Canada,North America,474.68,33,25.0,40.89,40.65,39.59,13.5
2020,Spain,Europe,667.51,66,143.0,34.0,33.76,33.69,85.27
2019,India,Asia,816.06,57,162.0,25.42,26.21,25.69,2.36
2017,Taiwan,Asia,552.73,28,68.0,27.36,27.65,27.69,7.01
2016,Brazil,Latin America,656.41,17,209.0,21.66,20.5,22.04,1.76
2022,Iraq,Asia,1081.75,6,900.5,22.59,22.6,23.04,0.7
2023,Finland,Europe,394.18,11,107.0,41.13,27.66,47.44,9.06
2023,Sweden,Europe,322.29,14,49.0,47.21,43.93,47.9,14.86
2022,Hong Kong,Asia,57.0,3,31.0,71.16,70.01,73.27,32.33
2022,Austria,Europe,451.41,16,151.0,43.28,44.09,39.24,26.0
2024,Finland,Europe,383.68,11,109.0,40.62,27.81,47.19,10.02
2024,Puerto Rico,Latin America,1162.75,2,1100.5,34.98,20.15,13.79,16.8
2023,Netherlands,Europe,175.43,14,58.0,50.09,45.28,67.02,26.3
2025,Colombia,Americas,1369.29,44,179.0,23.39,18.34,10.8,10.67
2025,Russian Federation,Europe,1744.0,54,580.0,20.25,19.89,20.26,13.15
2024,Northern Cyprus,Not Classified,618.5,2,613.0,41.45,39.32,37.61,80.5
2022,Israel,Asia,583.5,11,198.0,33.61,36.34,33.93,376.93
2024,Ecuador,Latin America,1346.25,14,825.5,16.56,9.08,4.76,10.07
2019,France,Europe,514.48,68,42.0,36.5,36.93,36.97,18.35
2024,China (Mainland),Asia,635.03,71,17.0,40.73,17.99,56.18,13.26
2025,"Iran, Islamic Republic Of",Asia,570.72,9,342.0,30.56,8.63,74.87,3.11
2020,Kuwait,Asia,900.5,1,900.5,24.39,26.84,26.98,14.32
2020,Pakistan,Asia,957.25,18,375.0,23.01,21.31,23.73,280.51
2026,Ukraine,Europe,1634.04,27,725.5,24.67,15.78,11.82,9.68
2018,Spain,Europe,560.8,46,140.0,34.36,34.66,33.28,116.97
2018,Finland,Europe,379.95,10,102.0,44.07,39.16,44.22,7.82
2021,Philippines,Asia,705.62,4,396.0,36.76,36.15,40.38,833.83
2024,Nigeria,Africa,1424.87,15,825.0,24.11,20.77,24.39,0.13
2016,Chile,Latin America,621.5,6,416.0,23.29,22.36,21.02,2.33
2024,Macau Sar,Asia,379.5,2,254.0,30.95,7.4,72.35,66.5
2025,Ecuador,Americas,1489.92,18,681.0,16.79,13.6,8.2,9.68
2026,Ireland,Europe,440.0,13,75.0,52.57,44.34,40.61,28.35
2024,Switzerland,Europe,321.22,19,7.0,50.42,43.09,59.86,29.41
2024,Indonesia,Asia,1169.06,37,237.0,23.74,17.21,7.44,8.79
2026,Thailand,Asia,1257.07,23,221.0,29.75,27.35,13.88,3.81
2024,Sweden,Europe,383.27,15,50.0,48.46,43.14,51.52,13.89
2024,Morocco,Africa,1481.54,12,1165.0,23.35,20.64,22.43,2.95
2026,Brazil,Latin America,1458.35,77,108.0,27.66,25.22,19.51,6.34
2025,Algeria,Other,1867.85,26,1315.0,18.15,18.44,18.7,0.58
2021,Chile,Latin America,967.23,35,121.0,32.18,32.03,31.09,204.58
2026,Taiwan,Asia,1161.4,50,63.0,31.79,25.98,28.31,8.91
2026,Pakistan,Asia,1036.01,57,354.0,34.64,26.97,32.47,4.69
2025,China (Mainland),Asia,613.4,71,14.0,43.23,17.32,61.46,13.43
2019,Colombia,Latin America,784.56,18,272.0,29.06,28.73,29.12,308.5
2019,Taiwan,Asia,717.12,34,72.0,25.7,25.06,25.25,7.21
2025,Belarus,Europe,837.67,3,387.0,42.87,16.6,1.17,20.74
2021,India,Asia,909.99,76,172.0,27.62,27.21,27.87,1.88
2026,Austria,Europe,435.0,18,152.0,45.17,43.87,38.33,33.0
2021,"Iran, Islamic Republic Of",Asia,668.08,6,409.0,31.21,31.47,30.55,1.57
2026,Greece,Europe,1152.18,20,355.0,31.66,26.59,34.58,5.27
2022,Indonesia,Asia,1014.29,24,254.0,26.54,26.23,26.26,211.47
2017,Poland,Europe,713.75,12,366.0,23.06,22.35,22.97,275.83
2025,Malaysia,Asia,742.26,36,60.0,38.24,25.85,17.37,18.87
2019,Italy,Europe,504.07,59,155.0,40.49,38.79,39.26,54.27
2024,Hong Kong Sar,Asia,172.64,7,26.0,67.1,60.81,75.8,37.26
2026,Portugal,Europe,912.98,20,230.0,39.32,30.85,40.03,19.28
2023,Romania,Europe,1345.19,27,553.0,21.92,13.63,12.11,11.6
2019,Austria,Europe,430.9,16,175.0,42.41,42.35,41.81,24.09
2025,Venezuela,Latin America,1169.43,8,695.5,39.89,13.9,3.9,22.3
2017,Thailand,Asia,619.64,11,252.0,25.02,24.75,23.18,131.28
2023,Luxembourg,Europe,244.0,1,244.0,51.48,55.32,49.24,51.0
2019,Argentina,Latin America,733.6,20,73.0,32.28,30.59,33.98,69.56
2025,Nigeria,Africa,1534.67,21,960.0,24.61,22.86,21.92,0.1
2022,Russia,Europe,709.36,48,78.0,31.58,32.55,31.55,10.76
2019,United Kingdom,Europe,428.46,114,5.0,42.45,42.05,43.2,23.34
2023,Indonesia,Asia,1054.96,26,231.0,25.14,19.08,8.5,8.68
2017,Indonesia,Asia,634.8,10,325.0,28.17,27.55,31.55,918.51
2018,Egypt,Africa,751.55,11,395.0,21.14,21.02,21.16,2.43
2016,Iran,Asia,584.0,8,478.0,25.16,25.63,24.11,0.62
2017,Mexico,Latin America,661.97,19,128.0,27.5,25.46,29.0,461.41
2017,Venezuela,Latin America,742.14,7,625.5,26.11,24.04,27.73,271.29
2019,Algeria,Other,1070.83,6,852.0,16.99,17.82,16.05,0.67
2025,Mexico,Americas,1347.51,44,94.0,24.57,14.79,6.18,12.55
2026,Viet Nam,Asia,1091.56,10,482.0,32.25,16.54,18.73,12.02
2024,Vietnam,Asia,1137.57,7,514.0,28.23,11.72,16.1,4.68
2020,India,Asia,849.82,64,152.0,27.66,26.85,27.86,1.87
2020,China,Asia,886.77,44,319.0,26.04,25.69,26.25,4.3
2016,Russian Federation,Europe,475.31,13,161.0,31.72,29.46,33.28,9.62
2025,Puerto Rico,Latin America,1256.25,2,1100.5,37.16,20.59,16.07,9.04
2025,Bolivia,Americas,1300.5,2,1300.5,19.4,5.1,1.35,16.13
2019,Russia,Europe,504.26,27,90.0,30.74,29.09,29.12,14.89
2019,Saudi Arabia,Asia,505.09,12,189.0,32.68,33.33,35.43,175.08
2023,Peru,Latin America,1046.5,10,364.0,30.5,14.21,4.19,15.39
2022,India,Asia,933.88,89,177.0,30.02,30.24,30.19,20.84
2017,Ukraine,Europe,705.33,9,382.0,23.48,21.68,25.91,9.72
2024,Malaysia,Asia,758.8,35,65.0,37.34,23.0,15.77,16.4
2022,Vietnam,Asia,985.92,6,469.0,32.32,30.47,31.92,0.81
2026,Bulgaria,Europe,1710.75,6,735.5,27.29,21.11,16.34,13.85
2018,Brazil,Latin America,790.67,50,121.0,25.33,25.77,26.29,142.1
2017,Russia,Europe,482.23,22,108.0,32.2,33.29,32.0,18.25
2025,Belgium,Europe,341.65,13,63.0,45.46,37.75,44.84,20.13
